Company Name,Website,Address,Phone Number,Customer Name,Position,Customer Phone Number,Email Address,Specialise,,,,,,,,,
Công Ty TNHH Thương Mại Dịch Vụ Sản Xuất Nam Khang Long,www.namkhanglongcontainer.com,"E28, Tổ 14, KP. 1, P. Tân Hiệp, TP. Biên Hòa,Đồng Nai, Việt Nam",938078328,Mr. Thịnh,Sales Manager,0938 078 328,namkhanglonghcm@gmail.com,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Công Ty Cổ Phần Thương Mại Dịch Vụ Cơ Khí Cao Lê Phát,www.caolephatcontainer.com,"Tầng trệt, Số 159, Tổ 3, KP. 4, P. Trảng Dài, TP. Biên Hoà,Đồng Nai, Việt Nam",909829459,Hotline,,0976 065 011,caoduc1188@gmail.com,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Công Ty TNHH Logistics Nam Khánh (Việt Nam),www.namkhanhlogistics.com,"Số 85, KP. Bình Dương, QL. 1A, P. Long Bình Tân, TP. Biên Hòa,Đồng Nai, Việt Nam",(0251) 368 3124,Hotline,,(0251) 368 3124,,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Công Ty TNHH Thương Mại Nam Hoàng Khang,www.vncontainer.net,"52/2 Tôn Đức Thắng, Hiệp Phước, Nhơn Trạch,Đồng Nai, Việt Nam",981613347,,,,sales.hoangkhang@gmail.com,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Container Hồng Uy Long - Công Ty TNHH TM DV Hồng Uy Long,,"Thửa Đất Số 1833, Tờ Bản Đồ Số 1 BA, Khu Phố Châu Thới, Phường Bình An, Thành Phố Dĩ An,Tỉnh Bình Dương, Việt Nam",0913 650 114,Hotline,,0913 650 114,info@hul.com.vn,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Hitech Container - Công Ty TNHH Thương Mại Dịch Vụ Hitech Container,www.hi-techcontainer.com,"Số 51/8, Đường Nguyễn Bỉnh Khiêm, KP. Tân Hòa, P. Đông Hòa, TP. Dĩ An,Bình Dương, Việt Nam",0901 535 535,Hotline,,0901 535 535(),,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Công Ty Cổ Phần Container Trung Nam,www.chothuecontainervanphong.com,"Số 252, Cao Tốc Mỹ Phước Tân Vạn, KP. Tân Phú, P. Tân Bình, TP. Dĩ An,Bình Dương, Việt Nam",942334055,Mr. Trần Văn Hiếu,,0942 334 055,tranhieucontainer@gmail.com,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Công Ty TNHH Kỹ Thuật Dịch Vụ Liên Sơn Quốc Tế,www.lisocon.vn,"Lô A3, Đường Số 9, KCN Sóng Thần 1, P. Dĩ An, TP. Dĩ An,Bình Dương, Việt Nam",Hotline: 0985 568 668,Mr. Phạm Ngọc Tuấn,Giám đốc,0974 744 666,viet.nguyen@vncontainer.com,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Công Ty TNHH Cơ Khí Vận Tải Sản Xuất Container Hà Thiên Phát,www.containerhathienphat.com,"Số 512, Khu Phố Quyết Thắng, Phường Bình Thắng, Thành phố Dĩ An,Bình Dương, Việt Nam",901679975,Hotline,,0937.460.486,sunyeuofme@yahoo.com.vn,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Công Ty TNHH Container Sao Biển,www.saobiencontainer.com,"Thửa Đất Số 1224, Tờ Bản Đồ 39, KP. Tân Thắng, P. Tân Bình, TP. Dĩ An,Bình Dương, Việt Nam",(0274) 3776495,Ms. Jenny,Quản Lý Bán Hàng,0916 744 524,saobiencontainer@gmail.com,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Container Sài Gòn Chấn Phát - Công Ty Cổ Phần Sài Gòn Chấn Phát,www.saigonchanphat.com,"Km 15, Xa Lộ Hà Nội, Ngãi Thắng, Bình Thắng, Dĩ An,Bình Dương, Việt Nam",(0274) 3774886,Mr Công,Giám Đốc,0983 129 098,info@saigonchanphat.com,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Container Tiến Phát - Công Ty TNHH Cơ Khí Vận Tải Tiến Phát Container,www.thungcontainer.com,"36A/3 KP. Ngãi Thắng, P. Bình Thắng, TP. Dĩ An,Bình Dương, Việt Nam",908124368,Hotline,,0879 641 368,dohuukhoi1368@gmail.com,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Công Ty Cổ Phần Container Phương Nam,www.vncontainers.com,"Thửa Đất Số 760, 988, Tờ Bản Đồ Số 48, 49, Khu Phố Khánh Tân, Phường Khánh Bình, Thành phố Tân Uyên,Bình Dương, Việt Nam",967585568,Hotline,,0967 585 568(),phuongnamcontainer26@gmail.com,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
DA Container - Công Ty TNHH TM Vận Tải D.A,www.containerda.com,"Số 410 Đường ĐT 743A, KP. Trung Thắng, P. Bình Thắng, TP. Dĩ An,Bình Dương, Việt Nam",969386868,Mr. Henry Nguyễn,,0969 386 868,henrynguyen110980@gmail.com,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Container Vũ Gia - Công Ty TNHH Cơ Khí Vận Tải Container Vũ Gia,www.containervugia.com,"Số 195/15/8 Khu Phố Quyết Thắng, P. Bình Thắng, TP. Dĩ An,Bình Dương, Việt Nam",982611633,Mr. Vũ Mạnh Dũng,,0968 662 553,containervugia@gmail.com,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Công Ty TNHH Thương Mại Khanh Phát Container,www.khanhphatcontainer.com,"116 KP. Nhị Đông 1, P. Dĩ An, TP. Dĩ An,Bình Dương, Việt Nam",362207679,Hotline,,0362 207 679,thekhanhcontainer@gmail.com,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Chấn Phát Trailer - Công Ty TNHH Chấn Phát Trailer,www.chanphat.com,"Khu Công Nghiệp Sóng Thần 1, ICD Tân Cảng Sóng Thần,X. Bình Hòa, H. Thuận An,Bình Dương, Việt Nam",(0274) 3560539,,,,pkd@chanphat.com,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Công Ty Cổ Phần  Cơ Khí Vận Tải Thương Mại Đại Hưng - Chi Nhánh Bình Dương,www.vietnamcontainer.com.vn,"Km 15, Xa Lộ Hà Nội, ấp Ngãi Thắng, X. Bình An, H. Dĩ An,Bình Dương, Việt Nam",(0274) 22141013,,,,office-bd@vietnamcontainer.com.vn,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Hưng Đạo Container - Công Ty Cổ Phần Hưng Đạo Container Chi Nhánh  Bình Dương,,"Tổ 12, KP. Ngãi Thắng, P. Bình Thắng, TP. Dĩ An,Bình Dương, Việt Nam",,,,,,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Công Ty TNHH TM DV Xuất Nhập Khẩu Phát Triển Minh Hiếu,,"1/8 Bùi Hữu Nghĩa, P. Bình Thắng, TX. Dĩ An,Bình Dương, Việt Nam",,,,,,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Chi Nhánh Công Ty Cổ Phần Thương Mại Cơ Khí Tân Thanh Tại Bà Rịa Vũng Tàu,www.tanthanhcontainer.com,"Tổ 8, Ấp Tân Lộc, X. Phước Hòa, H. Tân Thành,Bà Rịa -Vũng Tàu, Việt Nam",(0254) 3890363,,Phó Phòng Kinh Doanh,0938 373 955,vungtau@tanthanhcontainer.com,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Công Ty TNHH Dịch Vụ Kỹ Thuật Và Thương Mại Kim Hải,www.kimhaigroup.com,"126/2 Tổ 43L, Khu Phố 3, Đ. Đô Lương, P. 11, Thành Phố Vũng Tàu,Bà Rịa-Vũng Tàu, Việt Nam",936888893,Mr. Đỗ Tuấn Anh,PGĐ,,kt.kimhai@gmail.com,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Công Ty TNHH TMDV Vận Tải Hòe Hiền,,"Khu Công Nghiệp Mỹ Xuân A, Tân Thành,Bà Rịa-Vũng Tàu, Việt Nam",0971 895 777,,,,,container các loại container (10 feet 20 feet 40 feet),,,,,,,,,
Công Ty TNHH TMDV Cơ Khí Nam Lộc Thiên,www.namlocthiencontainer.com,"1406 Đường Nguyễn Xiển, P. Long Bình, Q. 9,TP. Hồ Chí Minh, Việt Nam",931859995,Ms. Mỹ Tiên,Nhân viên kinh doanh,0931 029 791,info@namlocthiencontainer.com,mua bán container,,,,,,,,,
Công Ty CP Tập Đoàn Tâm Thanh,www.thethanhcontainer.com,"L17 – 11 Tầng 17, Tòa Nhà Vincom Center, Số 27, Lê Thánh Tôn, P. Bến Nghé, Q. 1,TP. Hồ Chí Minh, Việt Nam",888888134,Hotline,,888888134,ceo@thethanhcontainer.com,mua bán container,,,,,,,,,
QNQ Container - Công Ty Cổ Phần QNQ Container,www.qnqcontainer.com,"Số 115/1A Đường 39, KP. 6, P. Bình Trưng Tây, Q. 2,TP. Hồ Chí Minh, Việt Nam",(028) 37242864,,,,info@qnqcontainer.com,mua bán container,,,,,,,,,
Mãnh Công - Công Ty TNHH Thương Mại Dịch Vụ Mãnh Công,,"27B/1 Hoàng Hữu Nam, P. Long Bình, Q. 9,TP. Hồ Chí Minh, Việt Nam",,,,,,mua bán container,,,,,,,,,
Công Ty Cổ Phần Đối Tác Chân Thật,www.genuinepartner.com,"Lầu 3 Tòa Nhà Vista, Số 628C, Xa Lộ Hà Nội, P. An Phú, Q. 2,TP. Hồ Chí Minh, Việt Nam",(028) 62814078,Mr. Toản,NV CSKH,0937 116 668,info@genuinepartner.com,cho thuê container,,,,,,,,,
Công Ty Cổ Phần Thương Mại Và Vận Tải Biển Phú Khang,www.phukhang.net,"42 Đường Số 10, KDC Vạn Phúc 1, P. Hiệp Bình Phước, TP. Thủ Đức,TP. Hồ Chí Minh, Việt Nam",(028) 62615828,Mr. Nguyễn Tiến Lợi,,0913 110 226,tony@phukhang.net,cho thuê container,,,,,,,,,
Công Ty TNHH WorldStar Việt Nam,www.worldstarvietnam.com,"89/5A2 Đường Số 49, Khu Phố 6, Phường Hiệp Bình Chánh, TP. Thủ Đức,TP. Hồ Chí Minh, Việt Nam",984620021,Ms. Nguyễn Thị Minh Phi,Giám đốc,0984 620 021(),phinguyen.worldstar@gmail.com,cho thuê container,,,,,,,,,
Bất Động Sản Tấn Hưng Thịnh Phát - Công Ty TNHH Thương Mại Dịch Vụ Tấn Hưng Thịnh Phát,www.tanhungthinhphat.vn,"64/1 KP. Bình Phước A, P. Bình Chuẩn, TX. Thuận An,Bình Dương, Việt Nam",(0274) 3798568,Hotline,,0984 568 568,baobihungthinhphat@gmail.com,dịch vụ kho bãi,,,,,,,,,
Gemadept Logistics - Công Ty TNHH MTV Tiếp Vận Gemadept,www.gemadeptlogistics.com.vn,"Lô J1, Đường Số 8, KCN Sóng Thần 1, P. Dĩ An, TP. Dĩ An,Bình Dương, Việt Nam",(0274) 7308898,Mr. Mai Hồng Hải,Văn phòng TP. HCM,,info.glc@gemadept.com.vn,dịch vụ kho bãi,,,,,,,,,
U&I Logistics - Công Ty Cổ Phần Logistics U&I,www.unilogistics.vn,"Số 158, Ngô Gia Tự, P. Chánh Nghĩa, TP. Thủ Dầu Một,Bình Dương, Việt Nam",(0274) 3816288,Ms. Tăng Thị Mai Thảo,Giám đốc kinh doanh,(0274) 3822908,info@unilogistics.vn,dịch vụ kho bãi,,,,,,,,,
Công Ty TNHH Kho Vận C.Steinweg (Việt Nam),www.steinweg.com,"Lô 43, Đ. 9, KCN Sóng Thần 1, P. Dĩ An, TX. Dĩ An,Bình Dương, Việt Nam",(0274) 3737169,Bà Trần Thị Ngũ Linh,Trợ Lý Giám Đốc,,hcmc@vn.steinweg.com,dịch vụ kho bãi,,,,,,,,,
Công Ty TNHH Thương Mại Dịch Vụ UWAY,www.uwayvn.com,"40/140, Đường Số 13, Khu Ehome Bắc Sài Gòn, P. Vĩnh Phú, TP. Thuận An,Bình Dương, Việt Nam",(0274) 6551088,,TP. Kinh doanh,094 5 721 804,uwayvn@gmail.com,dịch vụ kho bãi,,,,,,,,,
Công Ty Cổ Phần Đại Lý Hải Quan Trường Nam,www.truongnam.vn,"39 VSIP Đường Số 8, KCN Việt Nam – Singapore, P. An Phú,  TP. Thuận An,Bình Dương, Việt Nam",(0274) 7306868,Ông Võ Trường Sơn,,,info@truongnam.vn,dịch vụ kho bãi,,,,,,,,,
Công Ty TNHH SINOVNL,,"Đường Tân Vạn - Mỹ Phước, Tân Vạn, TP Biên Hòa,Đồng Nai, Việt Nam",(028) 66505285,,,,sinovnl@abits.vn,dịch vụ kho bãi,,,,,,,,,
Công Ty TNHH Đất Mới,,"1C, Đại Lộ Độc Lập, KCN Sóng Thần 1, Dĩ An,Bình Dương, Việt Nam",(0274) 3737170,,,,hungpham@newlandvietnam.com,dịch vụ kho bãi,,,,,,,,,
Vận Chuyển Ngọc Như ý - Công Ty TNHH Thương Mại Dịch Vụ Và Vận Tải Ngọc Như ý,,"28A/918 KV Bình Dương A, P. Long Tuyền, Q. Bình Thủy,TP. Cần Thơ, Việt Nam",(0292) 6549549,Ông Hà Tấn Tưởng,,0909.122.666,ctytnhhngocnhuy@gmail.com,dịch vụ kho bãi,,,,,,,,,
Vận Tải Đinh Nguyễn - Công Ty TNHH Đinh Nguyễn,www.dinhnguyenagency.com,"Khu Phố Mỹ Thạnh, Phường Mỹ Xuân, Thị Xã Phú Mỹ,Bà Rịa-Vũng Tàu, Việt Nam",(0254) 393 1509,Ông Nguyễn Thành Minh,,0904 445 456(),kinhdoanh@dinhnguyenagency.com,dịch vụ kho bãi,,,,,,,,,
Công Ty Cổ Phần Cảng Đông Xuyên,www.dongxuyenport.com.vn,"Đường 12, KCN Đông Xuyên, P. Rạch Dừa,Bà Rịa-Vũng Tàu, Việt Nam",(0254) 3613861,Ông Phạm Văn Vận,,0903.727.233,info@dongxuyenport.com.vn,dịch vụ kho bãi,,,,,,,,,
Vận Chuyển Trung Hiếu - Công Ty TNHH Trung Hiếu,,"Số 79 Nguyễn Văn Linh, KP. Quảng Phú, P. Quảng Phú, TX. Phú Mỹ,Bà Rịa-Vũng Tàu, Việt Nam",(0254) 3876445,Mr. Nguyễn Trung Tiến,Quản Lý,086 921 6868,trungtientrunghieu@gmail.com,dịch vụ kho bãi,,,,,,,,,
Vận Tải Ngọc Phước - Công Ty Cổ Phần Thương Mại Dịch Vụ Vận Tải Ngọc Phước,www.ngocphuocjsc.com,"KP.  Vạn Hạnh, P. Phú Mỹ, TX. Phú Mỹ,Bà Rịa-Vũng Tàu, Việt Nam",(0254) 3921616,Ông Phạm Hồng Lợi,,0906 221 221,ngocphuoccompany@gmail.com,dịch vụ kho bãi,,,,,,,,,
Chi Nhánh Long An - Công Ty TNHH EIMSKIP Việt Nam,www.eimskip.vn,"Lô E2-E3, Đường VL7, Khu Công Nghiệp Vĩnh Lộc 2, Xã Long Hiệp, Huyện Bến Lức,Long An, Việt Nam",(028) 6264 6380,Mr.  Long,,091 922 6984(),info@eimskip.vn,dịch vụ kho bãi,,,,,,,,,
Chi Nhánh Hưng Yên - Công Ty TNHH EIMSKIP Việt Nam,www.eimskip.vn,"Lô Số CN1-7, Khu Công Nghiệp Minh Quang, Phường Bạch Sam, Thị Xã Mỹ Hào,Hưng Yên, Việt Nam",(028) 6264 6380,Mr.  Long,,091 922 6984(),info@eimskip.vn,dịch vụ kho bãi,,,,,,,,,
Vận Tải Vinamas - Công Ty TNHH Dịch Vụ Hàng Hải Vina,www.vinamas.com.vn,"Số 161, QL 1A, P. 5, TP. Tân An,Long An, Việt Nam",(028) 73020070,Mr. Nguyễn Đức Khải,,(028) 73020070,info@vinamas.com.vn,dịch vụ kho bãi,,,,,,,,,
Vận Tải Long Phan - Công Ty TNHH Sản Xuất - Thương Mại - Dịch Vụ Long Phan,www.longphanvn.com,"207C Nguyễn Xí, P. 26, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 54452841,Ông Phan Văn Quế,Giám Đốc,0903.306.938(),quephan@longphanvn.com,kho bãi cho thuê,,,,,,,,,
Toàn Nhất Logistics - Công Ty CP Toàn Nhất Logistics,www.toannhat.vn,"Số 6 Đường Số 2 KDC Thành Ủy, Phường Hiệp Bình Chánh, Thành phố Thủ Đức,TP. Hồ Chí Minh, Việt Nam",917219888,Hotline,,0917 219 888(),toannhat.log@gmail.com,kho bãi cho thuê,,,,,,,,,
Kho Bãi Bảo Vận - Công Ty TNHH Dịch Vụ Logistics Bảo Vận,www.baovan.com.vn,"Số 938 QL1A, Phường Linh Trung, TP. Thủ Đức,TP. Hồ Chí Minh, Việt Nam",(024) 39990055,,,090 609 0055(),info@baovan.com.vn,kho bãi cho thuê,,,,,,,,,
Vận Tải Anphata - Công Ty TNHH Dịch Vụ Thương Mại Anphata,www.vantaianphata.com,"E4/52, Quốc Lộ 1A, P. Bình Trị Đông (Khuôn Viên Hoa Lâm Kymco), Q. Bình Tân,TP. Hồ Chí Minh, Việt Nam",0903 916 759,Mr. Phạm Minh Tân,Giám Đốc,0903 916 759(),ctyanphata@yahoo.com.vn,kho bãi cho thuê,,,,,,,,,
Cho Thuê Kho Bãi Freight Mark - Công Ty TNHH Freight Mark Việt Nam,www.facebook.com/FREIGHTMARKVN,"LM81-44.OT06 Tòa Landmark 81 Vinhomes Central Park, 720A Điện Biên Phủ, P. 22, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 3911 0184,Hotline,,0909793368(),admin@freightmark.com.vn,kho bãi cho thuê,,,,,,,,,
Kho Bãi SEC Warehouse - Công Ty Cổ Phần Sài Gòn Express,www.sec-warehouse.vn,"Số 121, Đường Hoàng Quốc Việt, P. Phú Thuận, Q. 7,TP. Hồ Chí Minh, Việt Nam",(028) 38382238,,Phó TGĐ,0901 868 786(),kinhdoanh@sec-warehouse.vn,kho bãi cho thuê,,,,,,,,,
Dịch Vụ Kho Bãi Interlink - Công Ty Cổ Phần Interlink,www.interlink.com.vn,"47 Điện Biên Phủ, P. Đa Kao, Q. 1,TP. Hồ Chí Minh, Việt Nam",0937 48 18 98,Hotline,,0937 481 898(),info@interlink.com.vn,kho bãi cho thuê,,,,,,,,,
Công Ty TNHH EIMSKIP Việt Nam,www.eimskip.vn,"96 Cao Thắng, Phường 4, Quận 3,TP. Hồ Chí Minh, Việt Nam",(028) 6264 6380,,,,info@eimskip.vn,kho bãi cho thuê,,,,,,,,,
Vận Tải Bảo Anh - Công Ty TNHH Đầu Tư Thương Mại Và Vận Tải Bảo Anh,www.baoanh.bizz.vn,"Văn Phòng 02, Tầng 8, Tòa Nhà Pearl Plaza, 561A Điện Biên Phủ, P. 25, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",0901.852.828,Hotline,,0901.852.828,baoanh.inc@gmail.com,kho bãi cho thuê,,,,,,,,,
Vận Tải Trường Thọ - Công Ty TNHH Giao Nhận Vận Tải Trường Thọ,www.vantaitruongtho.com,"21/2 Đường Lê Thị Riêng, Phường Thới An, Quận 12,TP. Hồ Chí Minh, Việt Nam",(028) 2253 7576,,,0976 145 466(),vttruongtho1108@gmail.com,kho bãi cho thuê,,,,,,,,,
Hừng á Logistics - Công Ty TNHH Tiếp Vận Hừng á,www.hungalogistics.com,"11 (Lầu 1) Nguyễn Công Trứ, Phường Nguyễn Thái Bình, Quận 1,TP. Hồ Chí Minh, Việt Nam",(028) 3821 6685,Hotline,,0968 397 465(),info@hungalogistics.com,kho bãi cho thuê,,,,,,,,,
IPO Logistics - Công Ty TNHH Dịch Vụ IPO Logistics,www.ipologistics.com,"27 , Đường Số 7, KP. 5, P. Hiệp Bình Chánh, TP. Thủ Đức,TP. Hồ Chí Minh, Việt Nam",(028) 6258 8536,,,0938960113(),ipologistics@hotmail.com,kho bãi cho thuê,,,,,,,,,
TECS - Công Ty TNHH Dịch Vụ Giao Nhận Hàng Hóa Tân Sơn Nhất,www.tecs.com.vn,"Số 6 Thăng Long, P. 4, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",(028) 38110633,,,,contactus@tecs.com.vn,kho bãi cho thuê,,,,,,,,,
Công Ty TNHH Vietnam Moving,www.vietnammoving.com,"Tầng 6 Fimexco, 231-233 Lê Thánh Tôn, Phường Bến Thành, Quận 1,TP. Hồ Chí Minh, Việt Nam",18007011,Hotline,,0902 823 212,info@vietnammoving.com,kho bãi cho thuê,,,,,,,,,
Logistics Việt Hoa - Công Ty CP Dịch Vụ Vận Tải Và Thương Mại Việt Hoa,www.viethoagroup.com,"284 Nguyễn Tất Thành, P. 13, Q. 4,TP. Hồ Chí Minh, Việt Nam",(028) 39402520,Ông Dương Thành Khuấn,,0903 952 255,khuan@viethoagroup.com,kho bãi cho thuê,,,,,,,,,
Logistics Tam Long - Công Ty TNHH Tiếp Vận Tam Long,www.tamlong.com,"19 Bùi Đình Túy, P. 26, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 35110891,Ms. Bùi Thục Quân,Tp. Marketing,0908 169 976,kinhdoanh@tamlong.net.vn,kho bãi cho thuê,,,,,,,,,
KCTC Logistics - Công Ty TNHH KCTC Việt Nam,www.kctcvn.com,"Tòa Nhà Dreamplex, Lầu 3, 195 Điện Biên Phủ, P. 15, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 62583706,Ms. Hà,Nhân sự,0908 761 410,nhansu@kctcvn.com,kho bãi cho thuê,,,,,,,,,
InterLogistics - Công Ty Cổ Phần Giao Nhận Tiếp Vận Quốc Tế,www.interlogistics.com.vn,"Tầng 5, Tòa nhà Cảng Sài Gòn, Số 3 Nguyễn Tất Thành, P. 12, Q. 4,TP. Hồ Chí Minh, Việt Nam",(028) 39435899,Phòng Kinh Doanh,,,info@interlogistics.com.vn,kho bãi cho thuê,,,,,,,,,
Bảo Phát Logistics - Công Ty Cổ Phần Thương Mại Dịch Vụ Logistics Bảo Phát,www.baophatlogistics.com.vn,"209 Nguyễn Thị Nhỏ, Phường 9, Quận Tân Bình,Tp. Hồ Chí Minh, Việt Nam",098 999 5456,,,,Baophatlogistics@gmail.com,kho bãi cho thuê,,,,,,,,,
Công Ty TNHH Dịch Vụ Vận Tải Tân Vĩnh Thịnh,www.everichvietnam.com,"Tầng 3, TN Indochina, Số 4, Nguyễn Đình Chiểu, P. Đakao, Q. 1,TP. Hồ Chí Minh, Việt Nam",(028) 39912626,Ms. Anna,,915133050,info@everichvietnam.com,kho bãi cho thuê,,,,,,,,,
Logistics SpeedMark - Công Ty Liên Doanh TNHH Tiếp Vận Và Vận Tải SpeedMark,www.speedmark.com.sg,"4/19 Hậu Giang, P. 4, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",(028) 39484102,Bà Nguyễn Thị Huỳnh Như,,0903 329 519,account@speedmark.com.vn,kho bãi cho thuê,,,,,,,,,
Công Ty TNHH Vận Tải Việt Huỳnh Gia,www.viethuynhgia.com,"Số 6/6R Quang Trung, P. 8, Q. Gò Vấp,TP. Hồ Chí Minh, Việt Nam",918116179,Hotline,,0918 116 179,viethuynhgia@gmail.com,kho bãi cho thuê,,,,,,,,,
SME Logistics - Công Ty CP SME Worldwide Logistics,www.smelogistics.vn,"Tầng 5, Tòa Nhà Narime, Số 15/28-30 Đường Đoàn Như Hài, P. 12, Q. 4,TP. Hồ Chí Minh, Việt Nam",(028) 62987790,Ms. Vy,,036 5757 027,hr-hcm@smelogistics.vn,kho bãi cho thuê,,,,,,,,,
Kho Bãi Vinaprint - Công Ty Cổ Phần Vinaprint,www.vinaprintcorp.com.vn,"Lầu 2, 56 Phạm Ngọc Thạch, P. 6, Q. 3,TP. Hồ Chí Minh, Việt Nam",(028) 38200526,,,,info@vinaprintcorp.com.vn,kho bãi cho thuê,,,,,,,,,
MOL Logistics - Công Ty TNHH MOL Logistics Việt Nam,www.mol-logistics-group.com/en,"Phòng 2.5A, Tầng 2, Tòa Nhà E Town 1, 364 Cộng Hòa, P. 13, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",(028) 38121349,Mr. Hà Xuân Thắng,Chuyên viên Sales,(028) 3812 1349 - line 702,sale1.hcm@mol-logistics.com.vn,kho bãi cho thuê,,,,,,,,,
Công Ty Trách Nhiệm Hữu Hạn Tân Thuận,www.tanthuan.com.vn,"KCX Tân Thuận, P. Tân Thuận Đông, Q. 7,TP. Hồ Chí Minh, Việt Nam",(028) 37701777,Hotline,,0901821669(),marketing@tanthuan.com.vn,kho bãi cho thuê,,,,,,,,,
Samco - Công Ty Cổ Phần Cảng Tôn Thất Thuyết,www.cangtonthatthuyet.com.vn,"42 Tôn Thất Thuyết, P. 4, Q. 4,TP. Hồ Chí Minh, Việt Nam",(028) 39404079,Mr. Nguyễn Thanh,PGĐ Nhân sự,0903 307 172,cangttt@gmail.com,kho bãi cho thuê,,,,,,,,,
Interlink Logistics - Công Ty Cổ Phần Interlink,www.interlink.com.vn,"47 Điện Biên Phủ, P. Đa Kao, Q. 1,TP. Hồ Chí Minh, Việt Nam",0937 48 18 98,Hotline,,0937 481 898(),info@interlink.com.vn,kho bãi cho thuê,,,,,,,,,
VVMV - Công Ty Cổ Phần Vinh Vân Minh Vân,www.vvmv.com.vn,"Tầng 4, Tòa Nhà Victory, Số 12 Tân Trào, P. Tân Phú, Q. 7,TP. Hồ Chí Minh, Việt Nam",(028) 54105410,P. Kinh doanh,,,admin@vvmv.com.vn,kho bãi cho thuê,,,,,,,,,
Dương Minh Logistics - Công Ty TNHH Giao Nhận Xuất Nhập Khẩu Dương Minh,www.xuatnhapkhauvn.com,"E13/24 ấp 5, X. Vĩnh Lộc A, H. Bình Chánh,TP. Hồ Chí Minh, Việt Nam",(028) 62599427,,Quản lý,0907.272.712,duongminh@xuatnhapkhauvn.com,kho bãi cho thuê,,,,,,,,,
Logistics Vinafreight - Công Ty CP Vinafreight,www.vinafreight.com,"Lầu 1, Block C, Tòa Nhà Văn Phòng Waseco, Số 10 Phổ Quang, P. 2, Q. Tân Bình,TP. Hồ Chí Minh, Việt Nam",(028) 38446409,Mr. Huy,TP tổng hợp,(028) 3844 6409,mngt@vinafreight.com.vn,kho bãi cho thuê,,,,,,,,,
Công Ty Cổ Phần Quốc Tế Delta - Chi Nhánh Bình Dương,www.delta.com.vn,"Số 10, Đại Lộ Độc Lập, KCN Sóng Thần, P. An Bình, TP. Dĩ An,Bình Dương, Việt Nam",(0274) 3769774,Chị Nguyễn Thị Thu Hiền,,0907 538 979,bd@delta.com.vn,kho bãi cho thuê,,,,,,,,,
Logistics Gia Việt - Công Ty TNHH Thương Mại - Dịch Vụ - Vận Tải Gia Việt,www.giavietlogistics.vn,"354 Ung Văn Khiêm, P. 25, Q. Bình Thạnh,TP. Hồ Chí Minh, Việt Nam",(028) 62759799,Ông Bùi Văn Trung,Giám Đốc,0919 056 668(),sales@giavietlogistics.vn,kho bãi cho thuê,,,,,,,,,
Cho Thuê Kho Bãi SGV Logistics - Công Ty TNHH Thương Mại Dịch Vụ Sài Gòn VILLAJA,www.svl-logistics.com,"68 Nguyễn Huệ, P. Bến Nghé, Q. 1,TP. Hồ Chí Minh, Việt Nam",(028) 36204286,Mr. Huy,,0917 632 195,huykhosaigon@gmail.com,kho bãi cho thuê,,,,,,,,,
Kho Bãi Strans - Công Ty Cổ Phần Kho Bãi Miền Nam,www.strans.vn,"11 Dương Văn An, P. An Phú, TP. Thủ Đức,TP. Hồ Chí Minh, Việt Nam",(028) 62610777,Hotline,,0984 318 456,khobaimn@strans.com.vn,kho bãi cho thuê,,,,,,,,,
